第二部分：10组对比问答（教学演示用）
请按以下方式向学生展示：

序号	用户问题	RAG前（纯LLM回答，不检索） — 典型幻觉/臆测	RAG后（检索上述文档后回答） — 精准事实
1	这个月球AI夏令营是谁组织的？	可能是SpaceX或NASA联合民间机构举办的，主要面向美国学生，地点可能在月球南极。	由大连高新技术产业园区管理委员会签发，联合中国航天科技集团第九研究院和月面城市发展署举办。
2	夏令营的具体举办日期和时长？	大概是2099年暑假期间，可能从7月到8月，但我记不清具体天数了，也许是两周。	2099年7月15日至8月25日，共计42天（6周）。
3	营地在哪里？有什么特殊硬件设施？	应该在月球正面某个基地，可能有太阳能板和普通机房。	位于月球静海基地东经23.4°，北纬8.9°的“广寒宫-3”舱段。配有“蛟龙-3000”类脑芯片集群（2.5 EFLOPS）和12MW氦-3辅助供电。
4	参加这个夏令营需要自己付路费吗？	大概率是自费的，而且太空旅行非常昂贵，估计要几百万美元。	园区财政承担地球至月球的往返船票、食宿及基础保险，学员无需自付。
5	招生对象和年龄限制是什么？	可能面向全球所有AI爱好者，没有明确年龄，或者要求18岁以上。	面向博士生、硕士生、优秀本科生，以及园区企业在职工程师，年龄不超过35周岁。
6	地月通信延迟是多少？能视频通话吗？	地月通信延迟大约几秒钟，视频通话会很卡甚至不可能。	通过“鹊桥-8”中继星，单向延迟1.8秒，视频会议延迟可控制在2.1秒内，支持实时加密通话。
7	夏令营的AI算力能效PUE是多少？	月球的PUE可能比地球差，因为没有大气散热，也许高达1.5左右。	利用月球背面超低温自然冷源，目标PUE可突破0.98，低于地球平均1.2。
8	学员需要自己带电脑吗？有什么要求？	应该需要自带笔记本电脑，Windows或Mac都可以。	必须自备符合月面接口标准的AI终端，推荐华为Mate XTerran或联想Yoga Lunar版。
9	营期最后有什么比赛或挑战？	可能有一个机器人足球赛或编程马拉松。	终极挑战赛是四足机器人“玉兔-10”在模拟月尘环境中自主避障与矿物抓取任务。
10	怎么报名？截止日期是什么时候？	去官网填表，截止可能是2099年6月或7月。	通过“大连高新智慧人才服务平台（月球专版）”在线报名，地球UTC+8时间2099年5月20日截止。
